notes,Compound.Name,Dino-1314,Green-1545,Archaea-SCM1,Alpha-SA30,Alpha-SA42,Alpha-SA33,Beta-SA59,CFB-SA60,Alpha-SA16,Alpha-SA44,Alpha-SA36,Alpha-SA48,Alpha-SA53,Alpha-SA11,Alpha-DSS-3,Alpha-Och114,Syn-7803,Croco-8501,Syn-8102,Pro-MED4,Pro-1314,Pro-Natl2A,Pro-AS9601,Diatom-To,Hapto-2090,Diatom-Cm,Diatom-Tp,Hapto-371,Diatom-Np,Diatom-Pt,Diatom-Pc55x,Dino-449,Dino-1771,Dino-2021,Chryso-116,Chryso-Ca,Chryso-Cr,Chryso-Cs,Chryso-P3,Green-3430,Gamma-SA55,Gamma-SA7,Diatom-Tp10,Diatom-Tp28,Diatom-Tp35
TQS,Propionyl CoA-HILIC,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TQS,Ribose-5-Phosphate-HILIC,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0.666666667,1,0.666666667,1,0,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1
TQS,Sarcosine-HILIC,0,0,1,0,0,0,Blk,Blk,Blk,0,Blk,Blk,Blk,0,0,0.333333333,1,Blk,1,0,Blk,Blk,Blk,1,Blk,1,1,0,Blk,1,Blk,Blk,Blk,0,0,0,Blk,1,0,1,0,0,Blk,1,1
TQS,Shikimic Acid-HILIC,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TQS,Succinic Acid-HILIC,Blk,Blk,Blk,Blk,1,1,Blk,1,1,1,1,Blk,0,1,1,Blk,Blk,Blk,Blk,Blk,Blk,Blk,Blk,1,Blk,Blk,Blk,Blk,Blk,1,1,Blk,Blk,Blk,Blk,Blk,Blk,Blk,Blk,Blk,1,1,Blk,Blk,Blk
TQS,Succinyl CoA-HILIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TQS,Sulfoacetic Acid-HILIC,Blk,0,Blk,Blk,0,Blk,0,0,0,0,0,Blk,0,Blk,0,0,0,0,0,1,Blk,0,Blk,Blk,Blk,Blk,Blk,0,Blk,0,Blk,0,0,0,Blk,Blk,Blk,Blk,Blk,Blk,Blk,0,0,0,0
TQS,Sulfolactic Acid-HILIC,Blk,0,0,0,0,0,0,1,0,0,0,0,0,0,Blk,0,0,1,0,0,0,0,0,1,0,1,Blk,0,1,1,1,0,Blk,Blk,Blk,1,1,1,0,0,0,0,0,0,0
TQS,Sulfurol-RP,Blk,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Blk,Blk,0,0,0,0,0,0,0,0,1,0,0.666666667,0.5,0,0,0,0,0,0,0,0,0,0,1,0,Blk,Blk,Blk
TQS,Taurine-HILIC,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0.5,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0
TQS,Thymidine-HILIC,0,0,1,0,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blk,0,Blk,0,0,1,1,0,Blk,0
TQS,Thymine-HILIC,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0.5,0,0,0,0,Blk,1,1,1,1,Blk,1,1,1,1,1
TQS,trans-Hydroxylproline-HILIC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1
TQS,Trehalose-HILIC,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
TQS,Tryptamine-RP,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TQS,UDP-Glucosamine-HILIC,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1
TQS,UDP-Glucose-HILIC,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1
TQS,Uracil-HILIC,0,0,0.666666667,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,Blk,Blk,Blk,Blk,Blk,0,0,Blk,0,0,0,0,Blk,Blk,1,0,Blk,Blk,Blk,Blk,0,0,1,0,Blk,0
TQS,Uridine-HILIC,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0.333333333,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TQS,Vitamin C-RP,0,0,0.333333333,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.666666667,0.333333333,0,0.666666667,1,0,0,0,1,Blk,0,0,0,0,0,0,0,0,0,0
TQS,Xanthine-RP,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,Blk,1,1,1,1,1,0.666666667,1,0,0,0
